course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
ISSUES IN LEADERSHIP,On Line Class,ORG,321L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Organizational Administration', '100N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Business', '100N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Organizational Administration', '101N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Organizational Administration', '202N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Organizational Administration', '301N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Organizational Administration', '302N', 'Undergraduate', 'D', '']]",Professional Programs PP,Professional Programs PP,3,139
CONTEMP BRITISH THEATER,Marist Abroad,IENG,201L,,,Liberal Arts LA,School of Liberal Arts LA,3,147
DATA COMM,Lecture,MSIS,567N,,,MSCS Computer Science CS,MSCS Computer Science CS,3,149
INTERNETWORKING,Lecture,CMPT,307N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Computing Technology', '306N', 'Undergraduate', 'D', '']]",Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,146
MODERN ASIA,Lecture,HIST,269L,,,Liberal Arts LA,School of Liberal Arts LA,3,150
THRY-PERSONALITY,Marist Abroad,PSYC,203L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,148
INVESTMENT ANALYS,Lecture,BUS,420N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '320N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Accounting', '330N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Business', '421N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Economics', '422L', 'Undergraduate', 'D', ''], ['And', '(', '', '', 'Mathematics', '115L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Mathematics', '241L', 'Undergraduate', 'D', ')']]",Management SM,School of Management SM,3,145
INTRO TO LAW,Lecture,PRLG,101L,,,Liberal Arts LA,School of Liberal Arts LA,3,151
IRISH LITERATURE,Marist Abroad,IENG,215L,,,Liberal Arts LA,School of Liberal Arts LA,3,152
MODERN LATIN AMERICA,Lecture,HIST,274L,,,Liberal Arts LA,School of Liberal Arts LA,3,153
SYSTEMS ANALYSIS+DESIGN,On Line Class,MSIS,570N,,,MSCS Computer Science CS,MSCS Computer Science CS,3,154
INTRO ENVIRON ISS,Lecture,ENSC,101L,,,Science SI,School of Science SI,3,155
DATABASE MANAGEMENT,Lecture,CMPT,308N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,159
BASIC PHOTO,Lecture,ART,145N,,,Communication and The Arts CO,School Communication Arts CO,3,158
ITALY'S CONTRIBUTION MOD SCI,Marist Abroad,HIST,281L,,,Liberal Arts LA,School of Liberal Arts LA,3,160
NETWORK VIRTUALIZATION,On Line Class,MSIS,603N,,,MSCS Computer Science CS,MSCS Computer Science CS,3,162
INTR LEG WRIT-RES,Lecture,PRLG,210N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Paralegal', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Political Science', '102L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,156
"PSYC, BIO SEX DIF",Marist Abroad,PSYC,206L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,157
CORP FINANCE,Lecture,BUS,421N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '320N', 'Undergraduate', 'D', ''], ['And', '(', '', '', 'Mathematics', '115L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Mathematics', '241L', 'Undergraduate', 'D', ')']]",Management SM,School of Management SM,3,161
EMERGING TECHNOLOGIES,Non Scheduled,MSIS,620L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,163
PROJECT MANAGEMENT,Lecture,CMPT,309L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,166
HIST-POL:IRELAND,Marist Abroad,HIST,285L,,,Liberal Arts LA,School of Liberal Arts LA,3,167
NATURE SKETCHBOOK,Marist Abroad,ART,149L,,,Communication and The Arts CO,School Communication Arts CO,3,168
THE EXCEPT CHILD,Lecture,PSYC,207L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,165
FAMILY LAW,Lecture,PRLG,311L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Paralegal', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Political Science', '102L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,164
DECISION SUPP SYS,On Line Class,MSIS,637L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,169
UNIX,Lecture,CMPT,312N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,170
ST:RACE IN THE NETHERLANDS,Marist Abroad,HIST,292L,,,Liberal Arts LA,School of Liberal Arts LA,3,171
HIST WEST ART I,Lecture,ART,160L,,,Communication and The Arts CO,School Communication Arts CO,3,172
INNOVATION MGMT+ NEW PRDT DVLP,Lecture,BUS,424N,,,Management SM,School of Management SM,3,173
DATA MINING & PRED ANALYTICS,Lecture,MSIS,645L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,175
INTRO TO z/OS+MJR SUBSYSTEMS,On Line Class,CMPT,315N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,177
ST:MODERN BRITAIN,Marist Abroad,HIST,293L,,,Liberal Arts LA,School of Liberal Arts LA,3,176
CRIMINAL LAW,Lecture,PRLG,312L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Paralegal', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Political Science', '102L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,174
ADV TOPICS IN ENTREPRENEURSHIP,Lecture,BUS,425N,,,Management SM,School of Management SM,3,178
ST:CLOUD INFRASTUCTURE&SERVICE,Lecture,MSIS,686L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,182
ST:IRISH BUSINESS HISTORY,Marist Abroad,HIST,294L,,,Liberal Arts LA,School of Liberal Arts LA,3,183
EDUC PSYCHOLOGY,Lecture,PSYC,208L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,180
ENVIRON POLITICS+POLICY,Lecture,ENSC,202L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Environmental Science', '101L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Political Science', '110L', 'Undergraduate', 'D', '']]",Science SI,School of Science SI,3,179
HIST WEST ART II,On Line Class,ART,180L,,,Communication and The Arts CO,School Communication Arts CO,3,185
REAL PROP & TITLE,Lecture,PRLG,313N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Paralegal', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Political Science', '102L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,181
INVESTMENT PRACTICUM-EQUITIES,Lecture,BUS,426N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '320N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,184
MSIS INTERNSHIP,Internship,MSIS,693N,,,MSCS Computer Science CS,MSCS Computer Science CS,1,189
ST:HISTORY OF MEDICINE,Lecture,HIST,296L,,,Liberal Arts LA,School of Liberal Arts LA,3,190
SOCIAL PSYCHOLOGY,Lecture,PSYC,220L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,187
ST:SECRETS OF THE MET,On Line Class,ART,190L,,,Communication and The Arts CO,School Communication Arts CO,3,192
INTRO TO GEOLOGY,Lecture,ENSC,210L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Environmental Science', '212L', 'Undergraduate', '', '']]",Science SI,School of Science SI,3,188
INVEST PRACT-FIXED INCOME,Lecture,BUS,427N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '320N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,191
MSIS INTERNSHIP,Internship,MSIS,696N,,,MSCS Computer Science CS,MSCS Computer Science CS,4,194
BUSINESS LAW I,Lecture,PRLG,380N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Paralegal', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Political Science', '102L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,193
3D DESIGN,Lecture,ART,201N,,,Communication and The Arts CO,School Communication Arts CO,3,196
PSYC OF ART & HUMAN CREATIVITY,Marist Abroad,PSYC,221L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,199
INTRO TO GEOLOGY LAB,Laboratory,ENSC,212L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Environmental Science', '210L', 'Undergraduate', '', '']]",Science SI,School of Science SI,1,197
INFO SYST PROJ,Lecture,MSIS,720L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,200
INTNTNL TRADE MGT,Marist Abroad,BUS,430N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '100N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,198
ECO-GASTRONOMY,Lorenzo di Medici,ENSC,250L,,,Science SI,School of Science SI,3,203
DRAW II:MEDIA+TECH,Lecture,ART,203N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Art', '110N', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,202
